,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
147,Bayanday,37,RU,1593447638,69,53.07,105.51,61.68,3.83
148,Tura,48,IN,1593447548,97,25.52,90.22,75.58,3.71
149,San Patricio,20,MX,1593447641,79,19.22,-104.7,86.0,6.93
150,Mar del Plata,75,AR,1593447511,66,-38.0,-57.56,51.8,16.11
151,Nome,1,US,1593447643,75,64.5,-165.41,44.01,8.05
152,Hilo,90,US,1593447604,64,19.73,-155.09,71.6,6.93
153,City of San Pedro,40,PH,1593447646,83,14.35,121.02,82.99,3.36
154,Santa Maria,100,BR,1593447647,89,-29.68,-53.81,54.0,9.86
155,Samarai,58,PG,1593447649,85,-10.62,150.67,78.21,14.58
156,Vostok,62,RU,1593447650,99,46.49,135.88,50.99,2.44
157,Prince Rupert,90,CA,1593447434,100,54.32,-130.32,50.0,4.7
158,Florence,20,IT,1593447653,48,43.77,11.25,86.0,8.05
159,Hambantota,75,LK,1593447502,100,6.12,81.12,80.6,10.29
160,Carnarvon,90,AU,1593447597,100,-24.87,113.63,62.6,8.05
161,High Level,40,CA,1593447656,68,58.52,-117.14,64.4,9.17
162,Mahajanga,20,MG,1593447657,78,-15.72,46.32,77.0,4.7
163,Lompoc,53,US,1593447659,59,34.64,-120.46,63.0,0.94
164,Boda,100,CF,1593447660,92,4.32,17.47,74.41,4.7
165,Kavieng,57,PG,1593447661,79,-2.57,150.8,82.31,9.4
166,Khovd,94,MN,1593447663,33,48.01,91.64,74.46,5.39
167,Bathsheba,75,BB,1593447664,83,13.22,-59.52,82.4,13.87
168,Ferme-Neuve,1,CA,1593447665,51,46.7,-75.45,77.09,7.72
169,Tacuarembó,100,UY,1593447666,81,-31.73,-55.98,53.73,12.1
170,Shiyan,0,CN,1593447668,81,32.65,110.78,75.34,0.72
171,Markova,75,UA,1593447669,78,48.68,24.41,77.0,4.47
172,Kinablangan,42,PH,1593447670,80,7.69,126.55,77.77,4.0
173,Puyang,100,CN,1593447671,91,29.46,119.89,76.69,5.17
174,Jinka,30,ET,1593447673,69,5.65,36.65,68.56,3.49
175,Beloit,75,US,1593447674,66,42.51,-89.03,87.8,11.41
176,Mamurras,0,AL,1593447675,61,41.58,19.69,82.4,5.82
177,Christchurch,100,NZ,1593447406,93,-43.53,172.63,44.01,13.87
178,Tommot,25,RU,1593447678,61,58.96,126.29,62.28,1.01
179,Leningradskiy,98,RU,1593447679,99,69.38,178.42,31.87,2.53
180,Sidvokodvo,0,SZ,1593447680,68,-26.63,31.42,66.2,1.12
181,Ochamchira,4,GE,1593447681,77,42.71,41.47,75.09,5.61
182,Vila,7,PT,1593447683,47,42.03,-8.16,81.0,14.99
183,Husavik,75,IS,1593447684,76,66.04,-17.34,50.0,17.22
184,Port Hardy,40,CA,1593447685,76,50.7,-127.42,57.2,2.24
185,Mantiquil,40,PH,1593447686,88,9.17,123.05,78.8,4.76
186,Bethel,75,US,1593447688,61,41.37,-73.41,79.0,4.7
187,Maragogi,57,BR,1593447689,70,-9.01,-35.22,80.11,10.27
188,Senekal,0,ZA,1593447690,46,-28.32,27.62,48.88,9.22
189,Ahipara,74,NZ,1593447691,82,-35.17,173.17,56.35,20.67
190,Iwanai,100,JP,1593447692,91,42.97,140.51,59.68,3.24
191,Manggar,26,ID,1593447694,78,-2.88,108.27,82.22,16.64
192,Grindavik,40,IS,1593447695,63,63.84,-22.43,62.6,11.41
193,Kumul,100,CN,1593447696,18,42.8,93.45,84.65,5.23
194,George Town,20,MY,1593447573,83,5.41,100.34,84.2,3.36
195,Taltal,25,CL,1593447699,57,-25.4,-70.48,63.84,8.86
196,Oboyan',40,RU,1593447700,50,51.21,36.28,77.0,11.18
197,Durango,100,MX,1593447688,37,24.83,-104.83,70.41,1.52
198,Saint George,1,US,1593447703,27,37.1,-113.58,73.4,9.17
199,Ust'-Karsk,42,RU,1593447704,71,52.7,118.81,60.19,0.6
200,Ikorodu,75,NG,1593447705,94,6.62,3.5,78.8,9.17
201,Storm Lake,90,US,1593447706,94,42.64,-95.21,78.8,14.99
202,Poli,20,TZ,1593447708,47,-3.33,36.8,80.6,10.29
203,Kudahuvadhoo,35,MV,1593447709,75,2.67,72.89,84.02,10.04
204,Pathein,36,MM,1593447711,85,16.78,94.73,80.74,5.26
205,Valparaíso,90,CL,1593447712,100,-33.04,-71.63,53.6,17.22
206,Felipe Carrillo Puerto,84,MX,1593447713,60,19.58,-88.05,88.84,6.51
207,Lüderitz,0,NA,1593447714,52,-26.65,15.16,69.8,13.87
208,Tongchuanshi,0,CN,1593447716,44,35.08,109.09,76.24,7.07
209,Laas,40,IT,1593447717,63,46.62,10.7,64.4,3.36
210,Mahébourg,75,MU,1593447718,88,-20.41,57.7,69.8,2.24
211,Kiryat Gat,0,IL,1593447420,81,31.61,34.76,82.99,1.01
212,Calama,0,CL,1593447720,15,-22.47,-68.93,60.8,18.34
213,Nuuk,40,GL,1593447707,75,64.18,-51.72,44.6,8.05
214,Bonnyville,75,CA,1593447723,82,54.27,-110.73,60.8,8.05
215,Vernon,1,CA,1593447627,67,50.26,-119.27,60.8,1.07
216,Porto-Novo,40,BJ,1593447725,78,6.5,2.6,82.4,16.11
217,‘Ewa Beach,90,US,1593447469,94,21.32,-158.01,75.2,5.61
218,Al Bardīyah,0,LY,1593447728,59,31.76,25.09,78.35,19.91
219,Loíza,40,PR,1593447729,62,18.43,-65.88,87.8,13.87
220,Shitanjing,0,CN,1593447730,35,39.23,106.34,73.4,4.29
221,Airai,75,TL,1593447732,99,-8.93,125.41,55.08,3.27
222,Ribeira Grande,40,PT,1593447733,83,38.52,-28.7,75.2,10.29
223,Linnich,69,DE,1593447734,43,50.98,6.27,69.8,20.8
224,Bad Bevensen,40,DE,1593447735,43,53.08,10.58,71.6,14.99
225,Meulaboh,91,ID,1593447736,84,4.14,96.13,78.35,2.91
226,Margate,98,GB,1593447738,75,51.38,1.39,64.99,15.99
227,Laguna,1,US,1593447441,33,38.42,-121.42,73.4,20.8
228,Nanortalik,15,GL,1593447740,82,60.14,-45.24,43.02,5.93
229,Calabozo,71,VE,1593447510,78,8.92,-67.43,82.67,6.49
230,Zhangjiakou Shi Xuanhua Qu,60,CN,1593447743,73,40.61,115.04,66.78,4.38
231,Ambon City,100,ID,1593447744,14,-3.7,128.18,80.01,10.29
232,Lagoa,9,PT,1593447745,96,39.05,-27.98,67.59,10.85
233,Kokopo,79,PG,1593447746,86,-4.35,152.26,76.98,6.93
234,Lethem,60,GY,1593447748,68,3.38,-59.8,85.55,4.07
235,Ketchikan,90,US,1593447749,81,55.34,-131.65,53.6,3.36
236,Ambilobe,59,MG,1593447750,78,-13.2,49.05,73.56,1.05
237,Pisco,90,PE,1593447751,82,-13.7,-76.22,64.0,6.93
238,Saskylakh,0,RU,1593447753,38,71.92,114.08,79.56,8.41
239,La Macarena,90,CO,1593447754,76,2.18,-73.78,77.16,2.75
240,Guerrero Negro,62,MX,1593447755,67,27.98,-114.06,68.16,8.1
241,Port Blair,100,IN,1593447756,81,11.67,92.75,81.68,16.42
242,Deputatsky,83,RU,1593447757,71,69.3,139.9,42.89,2.44
243,Hasaki,75,JP,1593447759,100,35.73,140.83,70.0,5.82
244,Nānākuli,90,US,1593447749,94,21.39,-158.15,75.0,3.36
245,Klaksvík,13,FO,1593447761,63,62.23,-6.59,60.8,6.93
246,Tsushima,75,JP,1593447762,83,35.17,136.72,75.2,9.17
247,Yazman,0,PK,1593447764,18,29.12,71.74,107.06,9.6
248,Jhābua,99,IN,1593447765,80,22.77,74.6,78.66,11.27
249,Nhulunbuy,40,AU,1593447766,88,-12.23,136.77,71.6,5.82
250,Jumla,85,NP,1593447767,72,29.27,82.18,61.52,0.63
251,Kruisfontein,68,ZA,1593447769,85,-34.0,24.73,58.3,20.09
252,Carutapera,24,BR,1593447770,69,-1.2,-46.02,85.14,9.37
253,Carlos Chagas,86,BR,1593447772,59,-17.7,-40.77,78.82,9.98
254,Batagay,62,RU,1593447773,47,67.63,134.63,53.17,4.92
255,Goiatuba,100,BR,1593447774,50,-18.01,-49.35,77.94,12.82
256,Obihiro,100,JP,1593447775,92,42.92,143.2,54.32,2.91
257,Correntina,0,BR,1593447777,31,-13.34,-44.64,81.43,9.55
258,Raja,19,SS,1593447778,62,8.46,25.68,84.06,1.95
259,Tuatapere,96,NZ,1593447779,83,-46.13,167.68,39.0,3.0
260,Pouébo,0,NC,1593447780,67,-20.4,164.57,63.86,5.08
261,Gijang,90,KR,1593447781,88,35.24,129.21,73.4,21.92
262,Plön,55,DE,1593447783,42,54.17,10.42,69.8,13.87
263,Narsaq,40,GL,1593447784,58,60.92,-46.05,53.6,10.29
264,Chapais,20,CA,1593447785,64,49.78,-74.85,71.6,8.05
265,Olafsvik,36,IS,1593447786,75,64.89,-23.71,54.09,19.13
266,Silikatnyy,40,RU,1593447788,51,53.99,48.33,62.6,8.95
267,Pimentel,20,PE,1593447789,68,-6.84,-79.93,69.8,12.75
268,Skovorodino,82,RU,1593447790,67,53.98,123.92,60.37,2.84
269,Kloulklubed,75,PW,1593447791,94,7.04,134.26,77.0,6.67
270,Purpe,100,RU,1593447793,74,64.48,76.69,60.01,5.99
271,Ponta do Sol,20,PT,1593447794,57,32.67,-17.1,77.0,13.87
272,Coquimbo,90,CL,1593447795,82,-29.95,-71.34,57.2,5.82
273,Sucre,3,BO,1593447796,28,-19.03,-65.26,62.38,4.9
274,Jiuquan,95,CN,1593447798,18,39.74,98.52,78.12,7.34
275,Ratne,68,UA,1593447799,70,51.67,24.53,79.34,3.36
276,Fort Nelson,75,CA,1593447731,76,58.81,-122.7,57.2,5.82
277,Bulungu,22,CD,1593447801,40,-4.55,18.6,87.71,2.42
278,Esim,98,GH,1593447803,84,4.87,-2.24,77.76,13.76
279,El Salvador,20,SV,1593447804,69,13.83,-88.92,87.8,3.36
280,Conakry,84,GN,1593447805,80,9.54,-13.68,81.64,13.09
281,Cap Malheureux,0,MU,1593447806,85,-19.98,57.61,69.01,3.0
282,Quatre Cocos,75,MU,1593447808,88,-20.21,57.76,69.8,2.24
283,Yarega,95,RU,1593447809,64,63.44,53.58,46.6,7.63
284,Kirakira,86,SB,1593447810,80,-10.45,161.92,79.05,1.16
285,Nola,0,IT,1593447811,59,40.92,14.53,84.99,5.99
286,Telêmaco Borba,100,BR,1593447813,66,-24.32,-50.62,65.44,5.84
287,Olinda,75,BR,1593447646,66,-8.01,-34.86,84.2,16.11
288,Mogadishu,81,SO,1593447561,85,2.04,45.34,79.07,16.46
289,Flinders,35,AU,1593447816,96,-34.58,150.86,48.99,4.43
290,Chake Chake,0,TZ,1593447818,83,-5.25,39.77,75.33,9.24
291,San Rafael,19,AR,1593447819,52,-34.62,-68.33,48.47,7.36
292,Tan An,75,VN,1593447820,94,10.53,106.42,78.8,3.36
293,Gushikawa,75,JP,1593447821,83,26.35,127.87,84.2,13.87
294,El Alto,7,PE,1593447823,69,-4.27,-81.21,73.4,19.46
295,Muros,13,ES,1593447824,46,42.78,-9.06,77.0,13.0
296,Yangi Marg`ilon,100,UZ,1593447825,25,40.43,71.72,77.0,4.7
297,Sa Kaeo,100,TH,1593447827,91,13.81,102.07,76.87,1.97
298,Skuteč,75,CZ,1593447828,64,49.84,16.0,69.8,12.75
299,Pahrump,0,US,1593447767,34,36.21,-115.98,73.0,4.0
300,Barrie,1,CA,1593447831,51,44.4,-79.67,80.6,5.82
301,Ola,78,RU,1593447832,92,59.58,151.28,47.95,2.68
302,Hobyo,17,SO,1593447833,80,5.35,48.53,78.78,26.22
303,Namatanai,31,PG,1593447835,81,-3.67,152.43,79.18,5.66
304,Abaza,100,RU,1593447836,91,52.66,90.09,52.81,3.06
305,Vila Velha,90,BR,1593447837,88,-20.33,-40.29,71.6,11.41
306,Wundanyi,9,KE,1593447838,57,-3.4,38.36,66.31,11.03
307,Cockburn Town,40,TC,1593447738,66,21.46,-71.14,86.0,9.17
308,Mount Isa,3,AU,1593447841,53,-20.73,139.5,51.8,5.37
309,Wāliṅ,24,NP,1593447842,90,27.98,83.77,73.09,1.36
310,Mitsamiouli,2,KM,1593447843,75,-11.38,43.28,78.93,4.97
311,Hue,40,VN,1593447751,74,16.47,107.6,82.4,4.7
312,Ilhabela,90,BR,1593447795,77,-23.78,-45.36,68.95,11.25
313,Cabo San Lucas,75,MX,1593447634,83,22.89,-109.91,84.0,11.41
314,Galle,100,LK,1593447679,84,6.04,80.22,82.0,15.55
315,Elko,85,US,1593447801,56,41.0,-115.5,51.01,14.0
316,Tinskoy,89,RU,1593447851,76,56.15,96.92,62.89,4.94
317,Gopāmau,15,IN,1593447852,55,27.55,80.28,91.26,10.76
318,Srednekolymsk,89,RU,1593447853,62,67.45,153.68,47.21,8.72
319,Tungor,63,RU,1593447855,93,53.38,142.96,45.79,1.74
320,Carmarthen,97,GB,1593447856,72,51.86,-4.31,59.0,31.09
321,Geraldton,75,AU,1593447857,82,-28.77,114.6,60.8,4.7
322,Kaitangata,98,NZ,1593447858,62,-46.28,169.85,45.0,4.0
323,Sioux Lookout,75,CA,1593447659,65,50.1,-91.92,77.0,5.82
324,Tiznit Province,0,MA,1593447861,36,29.58,-9.5,87.1,8.41
325,Garden City,40,US,1593447701,42,42.33,-83.33,84.0,4.7
326,Puerto Rondón,58,CO,1593447863,74,6.28,-71.1,82.11,4.12
327,Abrau-Dyurso,21,RU,1593447865,61,44.69,37.59,78.01,8.95
328,Santa Cruz de la Sierra,40,BO,1593447709,60,-17.8,-63.17,73.4,14.99
329,Ous,99,RU,1593447867,64,60.91,61.52,50.22,7.43
330,Kattivākkam,40,IN,1593447868,79,13.22,80.32,87.8,4.7
331,The Valley,40,AI,1593447782,58,18.22,-63.06,87.8,14.99
332,Byron Bay,40,AU,1593447787,93,-28.65,153.62,53.6,5.82
333,Jalu,0,LY,1593447872,14,29.03,21.55,97.0,12.73
334,Half Moon Bay,5,US,1593447873,67,37.46,-122.43,66.0,3.36
335,Yurginskoye,71,RU,1593447874,91,56.82,67.39,50.43,7.05
336,Beibei,41,CN,1593447876,70,29.83,106.43,84.2,6.71
337,Hofn,75,IS,1593447877,66,64.25,-15.21,55.4,17.22
338,Rindal,75,NO,1593447878,77,63.06,9.21,59.0,6.93
339,Gilbués,0,BR,1593447879,31,-9.83,-45.34,86.95,10.29
340,Berbera,16,SO,1593447881,36,10.44,45.01,98.42,19.44
341,Ferry Pass,90,US,1593447689,78,30.51,-87.21,86.0,9.17
342,Canindé de São Francisco,55,BR,1593447884,50,-9.66,-37.79,84.2,10.45
343,Jeremoabo,28,BR,1593447885,58,-10.07,-38.48,80.19,12.44
344,Hualmay,73,PE,1593447886,68,-11.1,-77.61,67.19,11.16
345,Anchorage,75,US,1593447768,71,61.22,-149.9,53.6,3.36
346,Beringovskiy,98,RU,1593447889,79,63.05,179.32,42.17,3.6
347,Tuytepa,98,UZ,1593447890,19,41.03,69.36,80.6,4.7
348,Belyy Yar,100,RU,1593447891,93,53.6,91.39,55.4,2.24
349,Hinton,64,CA,1593447893,70,53.4,-117.59,57.69,2.35
350,Upernavik,100,GL,1593447894,72,72.79,-56.15,39.78,6.89
351,Kenai,75,US,1593447895,76,60.55,-151.26,53.6,10.29
352,Omsukchan,64,RU,1593447896,77,62.53,155.8,50.94,4.25
353,Ucluelet,90,CA,1593447898,100,48.93,-125.55,55.0,8.05
354,Kahului,20,US,1593447838,73,20.89,-156.47,75.99,4.7
355,La Ronge,90,CA,1593447900,82,55.1,-105.28,57.2,11.41
356,Verkhnyaya Inta,100,RU,1593447901,92,65.98,60.31,43.39,14.76
357,Qasigiannguit,90,GL,1593447903,86,68.82,-51.19,39.2,3.36
358,Constitución,100,CL,1593447904,87,-35.33,-72.42,53.01,10.65
359,Ihosy,21,MG,1593447905,44,-22.4,46.12,67.73,3.69
360,Riyadh,8,SA,1593447823,9,24.69,46.72,105.8,9.17
361,Rusnė,75,LT,1593447908,88,55.3,21.38,66.2,6.71
362,Lianzhou,100,CN,1593447909,84,24.78,112.38,78.03,2.71
363,Agüimes,20,ES,1593447910,57,27.91,-15.45,79.0,32.21
364,Lorengau,17,PG,1593447911,76,-2.02,147.27,81.72,6.6
365,Portland,75,US,1593447748,72,45.52,-122.68,61.0,5.82
366,Ulkan,10,RU,1593447914,65,57.24,107.32,64.09,2.51
367,Havelock,40,US,1593447915,69,34.88,-76.9,86.0,4.7
368,Mehamn,75,NO,1593447916,65,71.04,27.85,44.6,11.41
369,Champasak,100,LA,1593447918,97,14.75,106.0,73.98,3.36
370,Okakarara,0,NA,1593447919,22,-20.58,17.43,65.17,6.15
371,Oruzgan,11,AF,1593447920,23,32.83,66.0,77.38,4.83
372,Robertson,20,US,1593447921,66,36.52,-86.87,91.0,10.29
373,Cherskiy,2,RU,1593447923,86,68.75,161.3,35.26,15.01
